                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0489,                 2.2723,                 2.3168,                0.65635,                0.35616,                0.42677,                0.18431,                 2.1102,                 2.2527,                  2.499,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0339,                 2.2809,                 2.2971,                0.51374,                0.38228,                0.37162,                0.14027,                 2.1823,                 2.3442,                 2.5138,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0059,                 2.2494,                  2.264,                0.52655,                0.39145,                0.40242,                0.18373,                 2.1741,                 2.3441,                 2.5505,               0.001307,               0.001307,               0.001307
                     38,                 2.0345,                 2.2714,                 2.3256,                0.55691,                0.36597,                0.41419,                0.18183,                 2.1574,                 2.2936,                 2.5349,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0037,                 2.2292,                 2.2871,                0.63022,                0.41026,                0.47563,                0.20334,                 2.1085,                 2.1521,                 2.4527,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9717,                 2.1776,                 2.2743,                 0.5869,                0.41396,                0.47199,                0.21324,                 2.1181,                 2.0977,                 2.4683,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0046,                 2.2418,                 2.2867,                0.57777,                0.42105,                0.47313,                 0.2207,                 2.0911,                 2.1101,                 2.4297,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0111,                 2.2347,                 2.2831,                0.70022,                0.37995,                0.48367,                0.21822,                 2.0789,                 2.0876,                 2.4676,               0.001208,               0.001208,               0.001208
                     43,                 1.9905,                 2.1972,                 2.2566,                0.60113,                0.39161,                0.41804,                0.17777,                 2.1029,                 2.2767,                 2.4792,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.9539,                 2.1368,                 2.2291,                 0.6301,                0.40559,                0.45326,                0.20459,                 2.1035,                 2.1624,                 2.4577,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.9765,                 2.1427,                 2.2564,                0.65231,                0.42191,                0.48604,                0.22699,                 2.0732,                 2.0756,                 2.4197,              0.0011486,              0.0011486,              0.0011486
                     46,                  1.974,                 2.1408,                 2.2633,                0.58443,                0.44289,                0.49262,                0.22927,                  2.101,                 2.0547,                 2.4344,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9513,                 2.1587,                 2.2383,                0.63806,                0.45921,                0.51419,                0.23379,                 2.0882,                 2.0886,                 2.4428,               0.001109,               0.001109,               0.001109
                     48,                 1.9335,                 2.0766,                 2.2008,                0.68706,                0.44056,                0.53037,                0.24231,                 2.0571,                 2.0686,                 2.4181,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.961,                 2.1185,                 2.2191,                0.64471,                 0.4359,                0.48061,                0.23445,                 2.0537,                 2.0943,                 2.3976,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.9238,                 2.1011,                 2.1956,                 0.7199,                0.41938,                0.53208,                0.26176,                  2.069,                 1.9901,                 2.3773,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9255,                 2.0721,                 2.2046,                0.70794,                0.43124,                0.52072,                0.23661,                 2.0545,                 1.9889,                  2.402,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.9421,                 2.0926,                 2.2159,                0.69651,                0.44522,                0.54043,                0.25807,                 2.0561,                 1.9738,                   2.42,                0.00101,                0.00101,                0.00101
                     53,                 1.9294,                 2.0662,                 2.2352,                0.66259,                0.48718,                0.55589,                0.24086,                 2.0425,                 1.9741,                 2.3792,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8918,                  2.035,                   2.17,                0.66214,                0.44314,                0.53137,                0.25694,                 2.0207,                 1.9464,                 2.3468,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9126,                 2.0093,                  2.177,                  0.681,                0.44755,                0.53034,                 0.2524,                  2.014,                 1.9658,                  2.354,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9081,                 2.0154,                 2.1829,                0.69219,                0.48718,                0.58178,                0.26738,                 1.9998,                 1.8909,                 2.3519,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.897,                  1.995,                 2.1675,                0.76686,                0.44522,                0.56469,                0.26483,                  2.049,                 1.9406,                 2.3831,               0.000911,               0.000911,               0.000911
