                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.992,                 2.1996,                 2.3293,                0.61424,                0.40457,                0.45963,                0.20763,                 2.0913,                 2.1951,                  2.514,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.9961,                 2.1997,                 2.3264,                 0.5805,                0.41259,                  0.453,                0.19819,                 2.1294,                 2.1813,                  2.522,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.9666,                 2.1673,                 2.2937,                0.53293,                0.43357,                0.44636,                0.19774,                 2.0896,                 2.1377,                 2.4851,               0.000614,               0.000614,               0.000614
                     38,                 1.9919,                 2.1903,                 2.3236,                0.55309,                0.40326,                0.46499,                0.21266,                 2.0976,                 2.1032,                 2.5103,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.9508,                 2.1551,                 2.2895,                0.68273,                0.42657,                0.47887,                0.19956,                 2.0677,                  2.186,                 2.4941,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.9595,                 2.1386,                 2.3146,                0.62477,                0.44289,                0.49624,                0.21681,                 2.0565,                 2.0707,                 2.4666,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.0003,                 2.0818,                 2.3799,                0.69707,                0.42912,                0.48998,                0.20975,                 2.0791,                 2.0924,                 2.4785,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.9844,                  1.997,                 2.3846,                0.70053,                0.44713,                0.52235,                0.24664,                 2.0176,                 1.9635,                 2.4108,               0.000416,               0.000416,               0.000416
                     43,                  1.965,                 1.9611,                 2.3561,                0.72103,                0.45221,                0.54316,                0.26229,                 2.0141,                 1.9292,                 2.4065,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.9502,                  1.921,                 2.3584,                0.74623,                0.43183,                0.53866,                0.27101,                  1.967,                 1.9195,                 2.3707,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.9264,                 1.9075,                 2.3307,                0.74637,                0.44056,                0.55093,                0.26078,                 1.9814,                 1.9499,                 2.3812,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.9201,                 1.8469,                 2.2969,                0.72185,                0.49417,                0.57576,                0.27482,                 1.9696,                 1.8772,                 2.3739,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.9144,                 1.8422,                 2.3122,                0.73025,                0.48019,                0.57638,                0.27183,                 1.9821,                 1.8684,                 2.3821,               0.000218,               0.000218,               0.000218
                     48,                  1.859,                 1.8043,                 2.2814,                0.71753,                0.48951,                0.57535,                0.27403,                 1.9592,                 1.8566,                 2.3504,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.8974,                  1.795,                 2.2936,                0.73118,                0.48019,                0.56329,                0.28145,                 1.9652,                 1.8413,                 2.3543,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.8728,                 1.7785,                 2.2682,                 0.7096,                0.49555,                0.58294,                0.28574,                 1.9534,                 1.8134,                 2.3482,               9.92e-05,               9.92e-05,               9.92e-05
